application_number,brand_name,generic_name,company,approval_year,submission_class
BLA019818,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA019882,TECHNESCAN MAG3,TECHNESCAN TC 99M MERTIATIDE,Curium US LLC,1990,Type 1 - New Molecular Entity
NDA019863,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA019949,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA019668,DOXAZOSIN,DOXAZOSIN,Mylan Pharmaceuticals Inc.,1990,Type 1 - New Molecular Entity
NDA019926,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA019886,SYNAREL,NAFARELIN ACETATE,Pfizer Laboratories Div Pfizer Inc,1990,Type 1 - New Molecular Entity
NDA019715,DIPENTUM,OLSALAZINE SODIUM,Viatris Specialty LLC,1990,Type 1 - New Molecular Entity
NDA019785,CARDIOLITE,TETRAKIS(2-METHOXYISOBUTYLISOCYANIDE)COPPER(I) TETRAFLUOROBORATE,"Lantheus Medical Imaging, Inc.",1990,Type 1 - New Molecular Entity
NDA019546,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
BLA103362,LEUKINE,SARGRAMOSTIM,"Partner Therapeutics, Inc.",1991,Type 1 - New Molecular Entity
BLA103000,BOTOX COSMETIC,ONABOTULINUMTOXINA,"Allergan, Inc.",1991,Type 1 - New Molecular Entity
NDA018922,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019961,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019834,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020073,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019998,CHEMET,SUCCIMER,"Recordati Rare Diseases, Inc.",1991,Type 1 - New Molecular Entity
NDA019979,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019901,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019766,ZOCOR,SIMVASTATIN,Organon LLC,1991,Type 1 - New Molecular Entity
NDA050664,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019839,ZOLOFT,SERTRALINE HYDROCHLORIDE,ROERIG,1991,Type 1 - New Molecular Entity
NDA019836,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019946,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
BLA020032,SURVANTA,BERACTANT,AbbVie Inc.,1991,Type 1 - New Molecular Entity
NDA019898,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020122,NIPENT,PENTOSTATIN,"Hospira, Inc.",1991,Type 1 - New Molecular Entity
NDA019915,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020154,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019616,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA050662,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA050670,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020007,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA050667,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020038,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019851,LOTENSIN,BENAZEPRIL HYDROCHLORIDE,Validus Pharmaceuticals LLC,1991,Type 1 - New Molecular Entity
BLA103353,NEUPOGEN,FILGRASTIM,"Amgen, Inc",1991,Type 1 - New Molecular Entity
NDA019091,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020068,FOSCAVIR,FOSCARNET SODIUM,Clinigen Limited,1991,Type 1 - New Molecular Entity
NDA019583,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020036,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019862,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA018841,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA020031,PAXIL,PAROXETINE HYDROCHLORIDE,Apotex Corp,1992,Type 1 - New Molecular Entity
NDA019940,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA050674,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA020013,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA050689,RIFABUTIN,RIFABUTIN,Mylan Pharmaceuticals Inc.,1992,Type 1 - New Molecular Entity
NDA020131,PROHANCE,GADOTERIDOL,BRACCO DIAGNOSTICS INC,1992,Type 1 - New Molecular Entity
NDA019660,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA020098,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA019787,NORVASC,AMLODIPINE BESYLATE,Viatris Specialty LLC,1992,Type 1 - New Molecular Entity
NDA020192,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA020250,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
BLA103293,PROLEUKIN,ALDESLEUKIN,"Iovance Biotherapeutics, Inc",1992,Type 1 - New Molecular Entity
NDA020199,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA020071,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA019908,AMBIEN,ZOLPIDEM TARTRATE,"Cosette Pharmaceuticals, Inc.",1992,Type 1 - New Molecular Entity
NDA020180,PROSCAR,FINASTERIDE,Organon LLC,1992,Type 1 - New Molecular Entity
NDA020118,SUPRANE,DESFLURANE,Baxter Healthcare Corporation,1992,Type 1 - New Molecular Entity
NDA019865,BETAPACE,SOTALOL HYDROCHLORIDE,"Legacy Pharma USA, Inc.",1992,Type 1 - New Molecular Entity
NDA019982,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA020119,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
BLA103471,BETASERON,INTERFERON BETA-1B,Bayer HealthCare Pharmaceuticals Inc.,1993,Type 1 - New Molecular Entity
NDA020151,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA050684,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity and Type 4 - New Combination
BLA020304,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA020210,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA020239,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA020091,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA019658,CLARITIN,LORATADINE,Bayer HealthCare LLC,1993,Type 1 - New Molecular Entity
NDA019649,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA020123,OMNISCAN,GADODIAMIDE,GE Healthcare Inc.,1993,Type 1 - New Molecular Entity
NDA020070,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA020326,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA020315,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA020184,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
BLA103532,PULMOZYME,DORNASE ALFA,"Genentech, Inc.",1993,Type 1 - New Molecular Entity
NDA020273,CALCIPOTRIENE,CALCIPOTRIENE,Prasco Laboratories,1993,Type 1 - New Molecular Entity
NDA020189,FELBATOL,FELBAMATE,Viatris Specialty LLC,1993,Type 1 - New Molecular Entity
NDA020219,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA020191,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA020235,NEURONTIN,GABAPENTIN,Parke-Davis Div of Pfizer Inc,1993,Type 1 - New Molecular Entity
NDA019304,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA020134,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA020136,N/A,N/A,N/A,1993,Type 1 - New Molecular Entity
NDA020272,RISPERDAL,RISPERIDONE,"Janssen Pharmaceuticals, Inc.",1993,Type 1 - New Molecular Entity
NDA020412,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity
NDA020256,NEUROLITE,BICISATE DIHYDROCHLORIDE,"Lantheus Medical Imaging, Inc.",1994,Type 1 - New Molecular Entity
NDA020084,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity
NDA020243,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity
NDA019806,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA020474,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity
NDA020287,FRAGMIN,DALTEPARIN SODIUM,Pfizer Laboratories Div Pfizer Inc,1994,Type 1 - New Molecular Entity
NDA020363,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity
NDA020392,CYSTAGON,CYSTEAMINE BITARTRATE,Mylan Pharmaceuticals Inc.,1994,Type 1 - New Molecular Entity
