Year,Count
1986,1
1989,1
1991,1
1992,1
1994,1
1995,2
1996,4
1997,3
1998,11
1999,25
2000,14
2001,49
2002,86
2003,183
2004,205064
2005,230833
2006,245860
2007,265910
2008,311058
2009,338807
2010,484178
2011,558593
2012,700842
2013,773984
2014,875090
2015,1187780
2016,1186065
2017,1251777
2018,1428118
2019,1434195
2020,1455117
2021,1566148
2022,1523664
2023,1368572
2024,1319095
2025,1295857
